,Dif10d,Dif14d,Dif18d,Dif21d,AveExpr,F,P.Value,adj.P.Val
NF2,0.00243552169881711,0.81526742440376,0.675709327326597,0.811789115848755,0.514906155951348,21.8604238650822,5.43181587028175e-08,1.67710608254206e-05
TAF13,-0.0378702276691453,0.22700490103311,1.00192468842624,1.05194406821068,-0.475045064204907,21.8334943969366,5.49775975988598e-08,1.67710608254206e-05
CMPK1,-0.0327178670917665,0.0189968549089371,0.811443356076242,1.10731925908929,-1.06252470221211,21.7687835081454,5.65977202461414e-08,1.6967606200688e-05
COA5,0.127043095026961,0.51984942920685,0.736669821157616,1.7116627564728,-0.591368815901803,21.6791558031253,5.89271323435145e-08,1.73665250371022e-05
ARID2,-0.0631577309402186,1.05557659826213,0.910308093077217,0.775859120128561,-0.20471936882748,21.5663294690798,6.20072908492372e-08,1.79697128881089e-05
NDRG3,-0.112228061013133,0.342669386141217,0.57741536612795,1.01956971651538,0.150332304186258,21.5298094648149,6.30410725576151e-08,1.79698060595379e-05
MED23,0.136870611529633,0.44166174778466,0.945094389139682,1.23679210069481,-0.682751908828216,21.3558087278956,6.82279667379029e-08,1.91346433167525e-05
PPP2R1A,-0.100921548042722,0.547627568230385,0.931000515107739,1.07968776504182,-0.804715931613337,21.2569916696114,7.13767694140942e-08,1.969998835829e-05
WDR92,-0.0280060462095659,0.104297962780225,0.903262352771212,1.25478739548709,-1.0598664671559,20.4386278141986,1.04348782781823e-07,2.83502599220366e-05
GART,0.0719181141358936,0.161270749335546,0.903024137191969,1.31054120856309,-0.768206976703765,20.2964113963568,1.11595067631803e-07,2.98525390151046e-05
SPPL3,0.217803903383614,0.36976289486666,0.73231279713881,0.883202253685681,0.524543797455845,19.0693557941839,2.02136907327912e-07,5.25550012860067e-05
GPR89A,-0.182381398241877,1.18267324976946,1.661131332824,0.348294917701108,-1.34412753915821,19.0656667931624,2.02506618711896e-07,5.25550012860067e-05
COX6B1,-0.22526208553459,0.483886049605077,0.713270911251278,0.894915341812685,-0.808502749721183,18.8381552900892,2.26776908492161e-07,5.79881894832602e-05
SIRT1,0.00909668545474625,0.387867682611307,0.545299019179217,0.82513077966949,0.320070423037464,18.4775961082089,2.71887371353309e-07,6.85156175810338e-05
UTP20,-0.0130051424621741,-0.0375043859842734,0.619188281659966,1.50473961796249,-1.76447294924497,18.422242903255,2.79629064372338e-07,6.94598595900888e-05
RREB1,0.0564602485180152,-0.522558160543404,-0.720572042338409,-0.589153281534617,-0.293743972994422,17.8508641258385,3.74972693279693e-07,9.18313407147507e-05
ZNF143,0.0373026254450562,0.476153694257089,0.612828981363285,0.939877805970089,0.309376499264458,17.6008126356243,4.27240556488353e-07,0.0001020454426327
NDUFAB1,-0.219872340948586,0.258526070576337,1.42075316998109,0.853401743054077,-0.817221463304298,17.5955696168971,4.28417144708254e-07,0.0001020454426327
DNLZ,-0.18791820476779,-0.0888216145324528,1.09084590228865,0.885989449896333,-0.639148933206371,17.2115212004939,5.24859655398517e-07,0.00012332783362256
TBCB,0.121362902837973,0.942003992954702,1.01262346150401,0.803054805225417,-1.55197083187074,16.6879606525648,6.95818928504411e-07,0.000161318660384463
ELOB,-0.0433754173536711,0.23145333746248,1.05050756944285,1.20264346536725,-1.55939493706095,16.5581856029149,7.46896836498181e-07,0.00017053995190192
TCF12,0.119780269505566,0.535224604804413,0.576612499140758,0.772452501315146,0.360301334308908,16.5379728970404,7.5520912677984e-07,0.00017053995190192
TTC4,0.0873282833113467,0.281873699150065,1.7195609166537,0.814037919729088,-0.317888525626689,16.4839149872701,7.77933104447565e-07,0.000173419241283773
SUPT20H,0.0458346152549649,0.760440060332239,0.833665688347194,1.0184428261774,-0.099277610517088,16.4007301805122,8.14350760101114e-07,0.000179239633122002
HSCB,0.109319113534328,0.0834995066492302,0.959953427450652,1.03279392104143,-0.500916590972329,16.3380403780247,8.43007306465057e-07,0.00018322763806018
TPT1,0.0903482139015792,0.0262003635928046,0.679251934935367,0.845757072645645,-0.94908811047823,16.3118140339599,8.55316153726921e-07,0.000183607867666712
HNRNPU,0.0470320320761703,-1.07898875831339,-0.75150784361359,-0.841446833177681,-2.08093280809406,16.1188169095105,9.52069636726612e-07,0.000201885205407345
USP22,-0.0743218921629266,0.487090926832687,0.576691470497474,1.10250547076551,0.211154740787154,16.0852832815138,9.70050645736542e-07,0.000203219766603217
KMT2A,0.128229291382206,0.478098946903295,0.742799335114464,1.13611053917369,-0.27135099407482,15.9858886071245,1.02552800747447e-06,0.000212284297547216
UBE2H,0.226614068283509,-0.766271296177998,-0.73344569386051,-1.65088563631701,-0.847887572920615,15.5019218874756,1.34908046945116e-06,0.000275974249444904
TTC14,-0.133710388967068,0.23467421905886,1.01576736383865,0.772026144697991,0.23585121587577,15.3583713852495,1.46502587739027e-06,0.000296207790186767
DDX42,-0.251116670756217,0.365049876719619,0.634111299774208,0.976796776851869,-0.844332612820078,15.290226345089,1.52378085605644e-06,0.000304545994541487
